penA	mtrR	porB	ponA	gyrA	parC	23S	ST
19.001	139	100	1	7	3	100	879
19.001	163	12	100	1	2	100	880
2.001	1	3	100	1	100	2	881
2.001	9	1	100	100	100	6	882
2.001	9	8	100	100	100	100	883
2.001	9	8	100	1	100	100	884
2.001	16	19	100	1	18	100	885
2.001	164	100	100	1	18	100	886
2.002	10	100	1	100	1	100	887
2.002	10	13	100	7	20	100	888
2.002	1	13	1	7	3	100	889
2.002	1	13	100	7	4	100	890
2.002	18	14	100	1	18	100	891
2.002	18	100	1	1	18	100	892
2.002	18	100	100	100	2	100	893
2.002	18	100	1	7	2	100	894
2.002	19	12	1	7	3	100	895
2.002	19	100	100	1	18	100	896
2.002	40	12	100	1	4	100	897
2.002	40	100	100	1	4	100	898
2.002	54	14	100	1	20	100	899
2.002	140	3	1	7	3	100	900
2.001	16	14	100	1	18	100	901
2.001	24	11	100	100	2	100	902
2.001	25	8	100	100	100	100	903
2.001	25	11	100	100	100	100	904
2.001	161	14	100	100	7	100	905
2.008	10	4	100	1	55	100	906
2.008	19	13	1	2	10	100	907
2.013	9	1	100	100	100	100	908
21.001	1	11	1	7	3	100	909
21.001	1	8	1	7	62	100	910
22.001	25	8	100	100	1	100	911
22.001	50	3	100	22	1	100	912
22.001	150	100	100	100	2	100	913
22.001	25	17	100	100	1	100	914
22.003	54	14	100	100	2	100	915
22.003	54	11	100	100	2	100	916
22.011	15	100	100	100	7	100	917
27.001	1	10	1	1	25	100	918
34.001	16	8	1	7	3	100	919
34.001	1	8	1	7	3	2	920
34.001	1	11	1	7	62	100	921
34.001	1	16	1	1	3	100	922
34.001	165	11	1	1	3	100	923
34.001	69	100	1	1	3	100	924
34.001	1	11	1	100	3	100	925
34.011	1	11	1	1	3	100	926
4.001	1	8	1	1	3	100	927
4.001	36	8	1	100	2	100	928
43.001	1	4	1	7	15	100	929
44.001	16	10	1	7	10	100	930
44.001	16	100	1	1	10	100	931
44.001	16	12	1	1	10	100	932
44.001	16	10	1	1	45	100	933
5.002	1	21	1	1	3	100	934
5.002	1	1	1	1	23	100	935
5.002	1	8	1	1	23	100	936
5.002	1	14	1	1	3	100	937
5.002	1	16	1	1	3	100	938
5.002	2	11	100	1	3	100	939
5.002	10	8	1	1	3	100	940
5.002	10	12	1	1	3	100	941
5.002	10	14	1	1	3	100	942
66.001	25	3	100	100	100	16	943
68.001	25	16	100	100	27	100	944
68.001	25	4	100	100	27	6	945
68.001	25	4	100	100	27	100	946
68.001	50	3	100	100	7	100	947
72.001	1	11	1	1	3	100	951
75.001	1	11	1	1	3	100	952
77.001	16	10	1	1	10	100	953
80.001	9	1	100	100	100	100	954
81.001	3	1	100	100	2	100	955
84.001	142	100	100	100	2	100	956
88.001	19	14	100	7	3	100	957
9.001	1	13	1	1	22	100	958
9.001	25	1	100	100	100	100	959
9.001	1	14	1	1	22	100	960
9.004	58	3	1	100	2	100	961
1.001	171	100	100	100	1	100	962
1.001	175	100	100	100	1	100	963
1.001	171	100	100	100	1	19	964
12.007	9	3	100	100	100	100	965
14.001	10	13	100	7	64	100	966
19.001	25	12	1	7	65	100	967
19.001	166	3	1	7	61	100	968
19.001	166	11	1	7	61	100	969
19.001	167	3	1	7	61	100	970
19.002	38	12	1	7	55	100	971
2.001	166	100	100	100	100	100	972
2.001	170	13	1	100	1	100	973
2.001	170	1	1	100	1	100	974
2.001	172	16	1	1	4	100	975
2.001	177	8	1	14	2	100	976
2.002	169	100	100	100	100	100	977
2.002	173	14	100	100	2	100	978
2.002	174	8	100	1	4	100	979
2.002	176	100	100	1	4	100	980
2.015	88	100	100	100	63	100	981
2.017	1	3	1	100	2	100	982
2.018	9	3	100	100	100	100	983
22.012	168	100	100	100	7	100	984
34.013	1	11	1	1	3	100	985
44.003	16	10	1	1	10	100	986
66.001	25	3	100	100	100	18	987
69.003	10	1	100	100	7	100	988
89.001	19	8	1	100	1	100	989
90.001	25	100	100	100	2	100	990
90.001	18	100	100	100	2	100	991
22.001	178	100	100	100	2	100	992
10.001	51	37	1	2	41	100	993
34.001	1	11	1	1	3	16	994
2.001	24	1	100	1	2	100	995
60.001	19	8	1	7	3	1	996
34.001	118	10	1	1	3	100	997
10.001	19	1	1	1	3	100	998
34.001	118	11	1	1	3	100	999
2.002	47	14	1	7	22	100	1000
34.001	117	11	1	1	3	100	1001
43.002	1	4	1	7	24	100	1002
2.002	40	13	100	7	1	100	1003
2.019	19	8	100	1	18	100	1004
15.001	5	11	100	100	2	100	1005
2.014	10	13	100	7	20	100	1006
9.001	1	11	1	100	2	100	1007
10.002	1	8	1	1	3	100	1008
13.001	1	3	1	1	3	100	1009
34.001	38	12	1	7	15	100	1010
13.001	19	8	1	7	9	100	1011
34.001	1	11	1	23	3	100	1012
19.003	47	14	1	7	17	100	1013
34.014	1	11	1	1	3	100	1014
52.002	1	11	1	1	3	100	1015
22.001	15	3	100	100	60	100	1016
14.001	10	3	100	10	60	1	1017
34.001	1	11	1	1	3	1	1018
34.001	10	11	100	1	3	100	1019
67.001	10	13	100	100	7	17	1020
14.001	10	3	100	100	2	100	1021
12.001	29	11	100	100	7	100	1022
61.001	36	11	1	100	7	100	1023
12.001	36	11	1	100	7	100	1024
5.002	1	13	1	1	3	2	1025
2.001	1	1	1	100	2	2	1026
2.002	19	8	1	7	3	2	1027
15.001	3	1	100	100	2	2	1028
14.002	29	1	100	100	7	7	1029
2.001	1	11	100	7	3	100	1030
2.001	1	1	100	7	3	100	1031
2.001	179	1	100	100	1	100	1032
2.002	123	14	1	100	1	100	1033
2.02	39	11	100	100	100	100	1034
14.005	29	8	100	100	7	2	1035
14.006	29	8	100	100	7	2	1036
92.001	16	10	1	1	10	100	1037
93.001	25	3	100	100	100	2	1038
2.001	39	11	100	7	4	2	1039
2.001	39	31	100	7	4	100	1040
2.007	39	11	100	7	4	100	1041
2.001	39	11	100	7	4	19	1042
2.001	180	31	100	7	4	100	1043
14.001	39	31	100	7	4	100	1044
34.013	1	11	1	1	3	2	1045
14.002	29	3	100	100	7	6	1046
18.001	25	13	1	1	3	100	1047
2.002	40	100	100	1	3	100	1049
5.002	10	1	1	1	3	100	1050
2.002	10	100	100	1	59	100	1051
19.001	181	12	1	7	55	100	1052
9.001	58	1	1	100	2	14	1053
9.001	10	100	1	1	49	100	1054
18.001	59	100	1	7	3	100	1055
18.001	16	3	1	1	3	100	1056
34.001	29	1	100	100	7	6	1057
5.002	38	3	1	1	3	100	1058
44.001	58	10	1	1	10	100	1059
94.001	42	100	100	10	2	2	1060
14.002	15	1	100	100	7	6	1061
14.002	5	3	100	100	7	6	1062
34.013	5	11	1	1	3	100	1063
14.001	10	14	100	100	1	6	1064
14.001	10	3	100	100	1	9	1065
2.001	183	1	100	100	100	100	1066
14.002	184	1	100	100	7	6	1067
22.001	15	3	100	100	67	100	1068
2.002	182	100	100	100	2	100	1069
100.008	10	14	100	100	1	100	1070
100.002	5	100	100	100	2	100	1071
15.003	161	100	100	100	1	100	1072
100.008	18	100	100	100	1	100	1073
100.001	54	100	100	100	2	100	1074
100.001	5	14	100	100	1	100	1075
100.004	5	13	100	11	7	100	1076
100.004	160	14	100	100	1	100	1077
100.001	54	14	100	100	2	100	1078
15.001	54	100	100	100	7	100	1079
100.001	54	100	100	100	7	100	1080
100.002	14	100	100	100	7	100	1081
1.001	10	100	100	100	2	100	1082
100.001	18	100	100	11	1	100	1083
1.002	90	14	100	100	2	100	1084
100.001	5	14	100	100	2	100	1085
100.005	54	14	100	100	1	100	1086
100.004	160	14	100	100	2	100	1087
100.005	161	100	100	100	1	100	1088
100.002	88	14	100	100	7	100	1089
100.004	18	14	100	100	100	100	1090
100.004	18	100	100	100	100	100	1091
19.001	54	100	100	1	22	100	1092
14.001	10	100	100	14	2	100	1093
14.001	14	100	100	100	1	100	1094
2.002	54	13	100	1	4	100	1095
19.001	38	13	1	7	15	100	1096
19.001	38	100	1	7	26	100	1097
2.002	18	100	1	5	6	100	1098
12.001	4	3	100	100	1	100	1099
13.001	1	100	1	7	21	100	1100
13.001	19	8	1	1	31	100	1101
18.001	1	4	1	7	3	100	1102
12.007	1	8	1	21	3	100	1103
18.001	19	12	1	7	3	100	1104
2.001	1	11	1	1	22	100	1105
12.007	1	11	1	7	3	100	1106
4.001	1	12	1	7	3	100	1107
2.002	1	11	1	7	100	100	1108
17.001	1	8	1	1	3	100	1109
18.001	139	8	1	7	1	100	1110
18.001	47	8	1	7	21	100	1111
21.001	47	4	1	7	21	100	1112
15.003	161	14	100	100	1	100	1113
100.006	161	14	100	100	1	100	1114
22.001	19	100	1	100	2	100	1115
1.002	25	14	100	100	2	100	1116
1.002	25	100	100	100	2	100	1117
21.001	1	8	1	7	3	100	1118
100.002	19	100	1	100	1	100	1119
22.001	25	14	100	100	2	100	1120
22.001	22	100	1	100	1	100	1121
19.001	14	3	100	100	100	100	1122
2.001	5	14	100	100	100	100	1123
34.007	40	100	100	7	4	100	1124
2.001	54	14	100	1	22	100	1126
92.001	16	1	1	1	10	100	1127
2.002	10	100	100	100	7	100	1128
43.002	54	100	100	1	22	100	1129
17.001	1	100	1	1	3	100	1130
43.002	54	14	1	7	20	100	1131
22.001	98	100	1	1	49	100	1132
60.001	1	11	1	7	3	100	1133
34.015	89	100	100	7	4	100	1134
101.001	25	8	1	2	4	100	1135
2.008	22	13	1	1	24	100	1136
18.001	47	100	1	7	3	100	1137
12.001	22	8	1	16	24	100	1138
2.002	89	1	100	7	4	100	1139
12.001	16	24	1	7	6	100	1140
18.001	36	8	1	7	24	100	1141
21.001	19	12	1	7	3	100	1142
60.001	1	12	1	7	3	100	1143
21.001	19	4	1	7	3	100	1144
10.001	33	10	1	2	5	100	1145
13.001	1	11	1	1	1	100	1146
13.001	19	12	1	7	53	100	1147
5.002	1	12	1	7	3	100	1148
21.001	19	13	1	7	3	100	1149
21.001	19	12	1	7	8	100	1150
13.001	19	4	1	1	9	100	1151
2.001	1	8	1	1	52	100	1152
2.002	1	11	1	2	23	100	1153
19.001	10	3	100	1	20	100	1154
43.001	16	4	1	7	6	100	1155
18.001	1	9	1	7	1	12	1156
21.001	19	8	1	7	3	100	1157
34.006	36	8	1	7	4	100	1158
43.001	33	4	1	2	5	100	1159
2.002	16	13	1	7	6	100	1160
18.001	1	21	1	7	3	100	1161
13.001	33	9	1	2	5	100	1162
21.001	16	13	1	7	8	100	1163
13.001	25	12	1	7	53	100	1164
5.002	1	8	1	7	23	100	1165
10.001	33	9	1	2	5	100	1166
18.001	19	11	1	7	3	100	1167
34.001	40	12	100	1	34	100	1168
2.002	40	11	100	7	3	100	1169
10.001	33	13	1	2	5	100	1170
18.001	1	11	1	1	52	100	1171
21.001	1	4	1	1	39	1	1172
21.001	19	8	1	7	3	1	1173
43.001	19	8	1	2	15	100	1174
10.001	36	8	1	2	24	100	1175
13.001	1	12	1	1	9	100	1176
21.001	19	4	1	7	8	100	1177
18.001	1	13	1	7	3	100	1178
13.001	1	8	1	7	3	100	1179
13.001	1	4	1	7	22	100	1180
21.001	1	10	1	7	3	100	1181
21.001	19	12	1	7	25	100	1182
43.002	1	8	1	15	3	100	1183
71.001	33	8	1	2	5	100	1184
14.001	1	13	1	7	3	100	1185
43.002	14	8	100	1	38	100	1186
13.001	22	8	1	16	24	100	1187
41.001	33	8	1	2	5	100	1188
12.007	25	4	1	7	3	100	1189
12.007	1	12	1	7	3	100	1190
10.001	47	11	1	7	21	100	1191
43.001	16	12	1	7	6	100	1192
12.007	1	8	1	7	3	100	1193
2.008	25	13	1	2	10	100	1194
18.001	89	8	1	7	24	100	1195
17.001	1	12	1	1	3	100	1196
2.002	1	9	1	7	3	100	1197
21.001	78	12	1	7	52	100	1198
13.001	70	8	1	7	53	100	1199
2.002	54	14	100	7	22	100	1200
2.002	89	14	100	7	20	100	1202
2.002	89	14	100	7	4	100	1203
2.002	89	12	100	7	4	100	1204
14.001	76	3	1	1	22	100	1205
9.001	89	12	1	1	22	100	1206
2.002	38	13	1	7	18	100	1207
43.002	89	12	1	7	24	100	1208
9.001	89	8	1	1	22	100	1209
2.001	10	19	100	1	22	100	1210
19.001	24	10	1	7	15	100	1211
2.002	10	14	1	7	20	100	1212
2.008	19	14	1	2	10	100	1213
5.002	15	14	1	1	3	100	1214
2.002	18	14	1	1	3	100	1215
13.001	19	12	1	1	9	100	1216
5.002	1	46	1	7	3	100	1217
9.001	1	12	1	100	2	100	1218
10.001	16	10	1	1	10	100	1219
43.002	54	100	100	7	6	100	1220
2.002	42	3	100	10	2	100	1221
18.001	25	12	1	7	43	100	1222
19.001	38	14	1	7	15	100	1223
2.002	18	19	100	1	18	100	1224
13.001	19	3	1	1	9	100	1225
19.001	54	13	1	1	26	100	1226
19.001	163	13	100	7	20	100	1227
19.001	47	8	1	7	17	100	1228
10.001	25	8	1	2	5	100	1229
19.001	33	100	1	7	15	100	1230
19.001	19	13	1	7	26	100	1231
10.001	33	21	1	2	5	100	1232
44.001	191	10	1	1	10	100	1233
18.001	192	8	1	1	3	100	1234
107.001	1	8	1	1	3	100	1235
10.001	33	100	1	2	5	100	1236
2.001	54	8	100	1	49	100	1237
19.001	54	13	1	7	20	100	1238
5.002	1	8	100	1	3	23	1239
106.001	33	100	1	2	75	100	1240
19.001	201	13	1	7	20	100	1241
108.001	38	13	1	7	15	100	1242
27.002	1	11	1	1	47	100	1243
19.001	5	14	100	100	2	22	1244
2.001	203	100	1	100	1	100	1245
10.001	33	24	1	2	5	100	1246
14.001	194	13	1	7	49	100	1247
16.001	193	100	100	1	68	100	1248
19.001	24	11	1	7	15	100	1249
19.001	195	14	1	7	17	100	1250
2.001	39	14	100	7	100	100	1251
2.001	39	4	100	100	100	100	1252
2.002	196	14	1	7	17	100	1253
2.002	19	14	1	7	3	100	1254
2.002	10	3	100	1	22	100	1255
2.002	89	13	100	7	20	100	1256
2.002	69	14	100	1	18	100	1257
34.001	1	11	1	1	74	100	1258
5.002	1	35	1	1	3	100	1259
2.002	10	3	1	1	4	100	1262
10.003	16	12	1	1	10	100	1263
109.001	1	8	1	7	3	100	1264
100.006	86	100	100	100	2	100	1265
2.002	40	8	100	7	4	100	1266
1.001	5	1	100	100	1	100	1267
105.001	25	3	100	100	100	100	1268
14.001	197	3	100	100	15	100	1269
2.002	40	12	1	7	4	100	1270
2.002	10	100	100	1	22	100	1271
9.001	25	12	1	1	69	100	1272
2.001	25	3	100	1	4	100	1273
2.001	10	100	100	7	20	100	1274
2.002	10	100	100	1	26	100	1275
15.001	142	100	100	100	70	100	1276
2.001	10	100	1	7	26	100	1277
2.001	101	100	100	100	100	12	1278
9.001	132	8	1	1	9	100	1279
9.001	10	27	1	1	60	100	1280
9.001	105	100	100	100	2	100	1281
19.001	47	100	1	7	17	100	1282
14.001	10	13	1	7	76	100	1283
2.002	54	100	100	7	22	100	1284
2.021	54	14	100	7	22	100	1285
2.001	54	1	100	1	18	100	1286
2.002	89	1	100	7	72	100	1287
76.002	19	8	1	1	9	100	1288
2.002	19	10	1	7	3	100	1289
3.002	54	100	100	1	20	100	1290
2.001	24	1	100	100	2	21	1291
2.002	199	100	100	1	22	100	1292
19.001	47	100	1	7	71	100	1293
2.002	199	100	100	7	22	100	1294
2.002	1	1	100	100	2	100	1295
19.001	198	100	1	7	15	100	1296
19.001	69	3	100	1	20	100	1297
2.002	15	1	100	100	7	100	1298
19.001	124	11	100	1	20	100	1299
2.002	40	11	100	7	15	100	1300
19.001	1	12	1	7	43	100	1301
13.001	19	8	1	21	33	100	1302
2.002	10	13	100	7	2	100	1303
19.001	18	14	1	7	15	100	1304
44.001	16	100	1	1	45	100	1305
9.001	1	8	100	7	3	100	1306
14.001	54	13	100	1	59	100	1307
14.001	18	14	100	7	20	100	1308
2.008	54	13	100	7	20	100	1309
12.007	39	14	100	7	100	100	1310
14.001	18	14	100	7	79	100	1311
19.001	209	3	1	7	15	100	1312
19.001	206	14	1	7	15	100	1313
2.001	5	3	100	2	77	100	1314
19.001	54	3	1	7	17	100	1315
18.001	204	11	1	7	26	100	1316
102.001	5	100	100	100	27	100	1317
14.001	202	100	100	1	3	100	1318
19.001	47	100	1	7	78	100	1319
2.002	18	13	100	1	18	100	1320
2.002	40	14	100	1	4	100	1321
2.001	205	8	1	1	78	100	1322
2.002	200	100	100	1	4	100	1323
19.001	208	8	1	7	3	100	1324
1.001	207	100	100	100	1	100	1325
19.001	38	13	1	7	13	100	1326
9.001	1	12	1	1	2	100	1327
19.001	1	14	1	7	17	100	1328
13.001	19	100	1	1	9	100	1329
2.008	131	100	1	2	51	100	1330
10.001	33	8	1	2	5	2	1331
5.002	10	4	1	1	3	100	1332
5.002	1	100	1	1	5	100	1333
9.001	1	13	1	100	2	100	1334
15.001	62	16	100	100	2	100	1335
2.001	18	14	1	1	3	100	1336
15.001	60	100	100	100	2	6	1337
9.001	25	1	1	1	2	100	1338
9.001	1	4	1	1	22	100	1339
43.002	122	100	100	7	6	100	1340
100.006	86	3	100	100	2	100	1341
12.007	9	1	100	100	1	100	1342
2.002	71	13	100	7	6	100	1343
2.002	18	13	1	7	3	100	1344
2.002	10	4	100	1	59	100	1345
2.002	19	13	100	14	1	100	1346
2.002	19	9	100	1	18	100	1347
2.002	1	3	1	100	2	100	1348
2.002	40	100	100	7	4	6	1349
2.002	40	13	100	7	3	100	1350
44.001	16	8	1	1	45	100	1351
44.001	16	10	1	23	10	100	1352
2.008	131	1	100	2	51	100	1353
19.001	69	13	1	7	20	100	1354
19.001	69	19	100	7	55	100	1355
19.001	38	8	1	7	15	100	1356
19.001	38	9	1	7	55	100	1357
19.001	1	1	100	7	15	100	1358
19.001	25	100	1	7	15	100	1359
14.001	10	13	1	7	49	100	1360
14.001	10	13	100	2	2	100	1361
14.001	10	100	100	1	22	100	1362
9.001	210	8	1	1	9	100	1363
18.001	1	8	1	7	80	100	1364
2.002	10	100	100	24	26	100	1365
13.001	19	3	1	1	9	24	1366
2.002	10	100	100	7	4	100	1367
93.001	25	1	100	100	100	2	1368
19.001	24	3	1	7	15	100	1369
2.001	9	1	100	100	1	2	1370
2.001	5	3	100	7	3	100	1371
44.001	16	4	1	1	45	100	1372
14.001	10	3	1	100	100	100	1373
112.001	16	10	1	1	10	100	1374
2.001	24	1	100	100	2	25	1375
110.001	42	100	100	10	2	100	1376
111.001	42	100	100	10	2	100	1377
2.002	161	4	1	25	10	100	1378
2.002	40	3	100	7	3	100	1379
1.011	5	100	100	100	1	100	1380
2.002	211	14	100	7	22	100	1381
116.001	25	1	100	100	100	2	1382
113.001	16	10	1	1	10	100	1383
114.001	25	3	100	100	100	2	1384
19.005	38	12	1	7	15	22	1385
115.001	1	11	1	1	3	100	1386
5.002	122	14	1	7	3	100	1387
21.001	47	8	1	7	21	1	1388
43.002	19	9	1	7	3	1	1389
34.008	42	1	100	10	2	100	1390
10.001	25	10	1	2	5	100	1391
10.001	1	8	1	7	3	100	1392
100.001	18	3	100	100	1	20	1393
15.003	161	3	100	100	1	100	1394
100.002	182	100	100	100	2	100	1395
91.001	158	21	100	1	3	100	1396
91.001	36	13	100	100	7	100	1397
91.001	36	21	1	100	7	100	1398
71.001	1	8	1	1	3	100	1399
15.001	54	100	100	100	2	100	1400
15.001	161	14	100	100	7	100	1401
15.001	161	3	100	100	1	100	1402
15.005	161	100	100	100	1	100	1403
98.001	83	100	100	100	1	100	1404
97.001	54	100	100	100	2	100	1405
96.001	83	100	100	100	1	100	1406
100.005	161	100	100	100	1	6	1407
100.005	54	100	100	100	1	100	1408
100.001	54	4	100	100	2	100	1409
100.001	187	100	100	100	1	100	1410
100.01	54	100	100	100	1	100	1411
100.01	83	100	100	100	1	100	1412
100.004	160	3	100	100	2	100	1413
100.004	186	14	100	100	1	100	1414
100.001	185	100	100	100	1	100	1415
100.009	18	100	100	11	1	100	1416
95.001	18	3	100	100	100	100	1417
100.001	18	100	100	100	1	100	1418
2.023	18	3	100	100	2	100	1419
44.001	215	11	1	1	10	100	1420
15.001	18	14	100	100	2	100	1421
15.001	3	1	100	100	7	100	1422
15.001	14	1	100	100	7	100	1423
14.001	10	3	100	14	2	100	1424
12.001	10	5	1	100	2	100	1425
1.009	185	100	100	100	1	100	1426
1.001	54	14	100	100	100	100	1427
100.006	161	100	100	100	1	100	1428
100.001	161	14	100	100	1	100	1429
100.001	161	100	100	100	1	100	1430
100.001	10	14	100	100	2	100	1431
100.001	18	14	100	100	14	100	1432
100.001	188	14	100	100	1	100	1433
100.013	25	100	100	100	2	100	1434
100.013	54	100	100	100	2	100	1435
13.001	214	8	1	7	53	100	1436
100.012	18	100	100	100	1	100	1437
100.011	161	3	100	100	1	100	1438
15.006	212	100	100	100	7	100	1439
98.002	89	14	100	100	2	100	1440
100.014	5	100	100	100	2	100	1441
15.003	5	14	100	26	1	100	1442
100.002	213	100	100	100	2	100	1443
100.002	214	14	100	100	100	22	1444
100.015	18	14	100	100	1	100	1445
99.001	25	4	100	100	2	100	1446
9.001	189	100	1	1	2	100	1447
22.013	25	100	100	100	2	100	1448
22.001	54	14	100	100	2	100	1449
22.001	25	100	100	6	1	100	1450
2.002	18	3	1	5	6	100	1451
2.001	190	13	1	100	100	100	1452
2.001	19	8	100	1	31	100	1453
19.004	38	12	1	7	15	100	1454
19.001	54	4	100	1	22	100	1455
2.023	10	47	1	1	2	100	1456
19.001	38	13	1	7	55	100	1457
14.001	10	14	100	100	1	100	1458
14.001	10	14	100	100	1	26	1459
34.001	1	14	1	1	1	100	1460
2.001	24	14	100	100	2	100	1461
2.02	39	14	100	100	100	100	1462
103.001	1	8	1	1	3	100	1463
10.003	47	8	1	7	21	100	1464
1.001	25	100	1	100	2	100	1465
100.001	18	100	100	100	27	100	1466
15.001	62	4	100	100	2	100	1467
18.001	19	100	1	7	8	100	1468
2.001	18	4	1	100	2	100	1469
2.001	161	100	100	1	7	100	1470
34.001	88	100	1	1	3	100	1471
4.001	25	100	100	100	1	100	1472
68.001	19	4	1	100	2	100	1473
68.001	19	100	1	100	2	100	1474
9.001	189	8	1	1	2	100	1475
15.007	60	100	100	100	2	100	1476
119.001	18	100	100	100	100	100	1477
15.008	88	100	100	100	2	100	1478
10.001	33	8	1	2	85	100	1479
34.016	16	11	1	1	10	100	1480
34.016	220	11	1	1	10	100	1481
22.001	218	14	100	100	2	100	1482
1.001	219	100	100	100	1	100	1483
1.001	221	100	100	100	1	100	1484
2.001	39	5	100	7	4	100	1485
78.002	139	11	100	7	4	100	1486
2.001	39	1	100	7	4	100	1487
2.001	39	31	100	7	4	2	1488
18.001	36	8	1	2	24	2	1489
2.001	39	13	100	7	4	100	1490
2.001	39	13	100	100	100	1	1491
120.001	1	8	1	7	3	2	1492
5.002	222	14	1	7	3	100	1493
9.001	1	100	1	1	22	100	1494
9.001	10	13	1	1	49	100	1495
9.001	69	100	1	1	22	100	1496
9.001	95	13	1	1	22	100	1497
9.001	96	13	1	1	49	100	1498
22.003	218	14	100	100	2	100	1499
19.001	10	47	1	1	2	100	1500
60.001	1	8	1	7	3	29	1501
78.002	39	11	10	7	4	2	1502
78.002	39	11	100	7	4	100	1503
2.001	3	3	100	100	100	2	1504
100.008	10	100	100	100	7	100	1505
2.002	193	13	100	7	81	27	1506
34.001	1	11	1	1	82	100	1507
2.002	18	13	100	1	83	100	1508
2.002	40	11	100	7	84	100	1509
22.007	25	100	100	100	1	100	1510
2.002	1	1	1	1	3	2	1511
12.001	39	3	100	7	4	16	1512
2.001	39	3	100	7	4	100	1513
2.001	39	11	100	7	86	100	1514
1.001	57	3	100	100	2	100	1515
22.001	98	3	1	1	49	100	1516
22.001	76	13	1	100	2	100	1517
22.001	98	13	1	1	49	100	1518
9.001	58	1	1	100	2	29	1519
22.003	225	14	100	100	2	100	1520
14.001	10	14	100	100	1	29	1521
10.002	16	12	1	1	10	100	1522
1.001	17	100	100	100	1	100	1523
2.001	39	11	100	7	4	27	1524
19.006	18	12	1	7	15	100	1525
68.001	25	100	100	100	27	100	1526
68.001	25	100	1	100	27	100	1527
68.001	25	1	1	100	2	100	1528
2.008	54	13	1	2	34	100	1529
2.009	54	14	100	1	4	100	1531
69.001	54	14	100	1	2	100	1532
2.008	78	14	100	100	2	100	1533
2.01	19	8	1	100	2	100	1534
68.001	83	100	100	100	7	100	1535
35.001	69	11	1	1	3	100	1536
9.001	97	100	1	1	49	100	1537
14.001	57	100	1	7	7	100	1538
14.001	18	13	100	100	2	100	1539
9.001	57	14	1	1	49	100	1540
2.008	54	14	100	100	2	100	1541
14.001	101	100	1	100	7	100	1542
9.001	69	13	1	1	22	100	1543
76.001	25	1	100	100	2	100	1544
22.01	35	8	1	100	7	100	1545
9.005	58	100	1	100	2	100	1546
9.004	58	100	1	100	2	100	1547
9.001	115	100	1	1	49	100	1548
2.008	18	14	100	100	2	100	1549
9.001	54	100	1	1	49	100	1551
9.001	57	100	1	1	49	100	1550
12.001	36	8	1	7	38	100	1555
14.004	49	13	100	7	20	100	1556
83.001	29	12	100	100	7	100	1557
2.008	19	100	1	2	10	100	1558
79.002	25	1	100	100	2	100	1559
19.001	38	13	1	7	1	100	1560
2.002	19	44	1	7	3	100	1562
9.001	25	44	1	100	32	100	1563
78.001	25	1	100	100	2	100	1566
2.002	223	13	100	1	22	100	1567
1.001	224	100	100	100	42	100	1568
15.001	224	100	100	100	2	100	1570
15.004	88	100	100	100	2	100	1553
21.001	47	13	1	7	21	100	1554
19.001	38	44	1	7	1	100	1561
14.001	159	44	100	100	7	100	1565
14.002	29	44	100	100	7	100	1564
2.002	225	12	100	1	4	100	1569
2.002	163	14	1	1	4	100	1571
5.002	122	14	1	7	3	2	1572
81.001	3	1	100	100	2	2	1573
87.001	16	8	1	7	3	100	1574
43.003	1	12	1	7	6	100	1575
9.002	25	3	1	100	2	100	1576
12.005	1	8	1	1	3	100	1577
22.009	36	5	1	100	1	100	1579
11.001	1	3	1	100	2	100	1580
11.001	18	3	1	100	2	100	1581
34.009	1	11	1	1	3	100	1582
19.001	10	100	1	1	49	100	1583
9.001	10	100	1	100	49	100	1584
14.001	101	3	1	100	7	100	1585
14.001	10	13	1	7	7	100	1586
34.01	1	11	1	1	3	100	1587
9.003	25	4	1	100	2	100	1588
11.001	1	100	1	100	2	100	1589
12.006	1	8	1	1	3	100	1590
22.001	98	14	1	1	49	100	1591
22.001	116	100	1	100	2	100	1592
9.001	10	14	1	1	49	100	1593
2.014	10	13	1	7	20	100	1595
44.002	16	10	1	1	45	2	1596
82.001	1	1	1	1	3	100	1597
9.006	1	8	1	100	2	100	1598
2.001	15	44	1	100	1	100	1599
2.001	1	5	1	1	3	100	1600
12.001	1	13	1	1	3	100	1601
2.001	1	44	1	100	2	100	1602
14.001	10	13	1	7	22	100	1603
60.001	1	8	1	7	82	100	1604
60.001	1	21	1	7	3	100	1605
60.001	1	8	1	7	3	2	1606
19.001	38	14	1	7	26	100	1607
2.002	10	14	100	100	7	100	1608
108.001	25	8	2	7	53	100	1609
108.001	25	8	1	7	5	100	1610
121.001	25	8	1	7	53	100	1611
121.001	25	8	1	7	5	100	1612
9.001	1	21	1	1	10	100	1613
14.001	29	3	100	100	2	100	1614
5.002	122	1	1	7	3	100	1615
14.001	10	3	100	100	1	29	1616
14.001	1	3	1	100	2	100	1617
60.001	1	8	1	7	3	4	1618
34.011	1	11	100	1	3	100	1619
10.003	25	12	1	21	47	100	1620
60.001	1	12	13	7	3	100	1621
60.001	1	12	1	7	3	31	1622
9.001	69	19	1	1	22	100	1623
2.002	10	13	1	1	4	100	1624
19.001	18	100	1	7	55	100	1625
14.001	171	3	100	1	4	100	1626
2.002	10	100	1	1	4	100	1627
19.001	18	100	1	7	20	100	1628
14.001	10	3	1	1	100	100	1629
1.008	69	14	100	100	2	100	1631
19.001	18	100	1	7	15	100	1632
